in s,C1 in V
-7.1728E-06,-3.93066E-01
-7.1712E-06,-3.73535E-01
-7.1696E-06,-4.02832E-01
-7.1680E-06,-3.63770E-01
-7.1664E-06,-3.39355E-01
-7.1648E-06,-2.61230E-01
-7.1632E-06,-1.97754E-01
-7.1616E-06,-1.09863E-01
-7.1600E-06,-2.19727E-02
-7.1584E-06,6.59180E-02
-7.1568E-06,1.58691E-01
-7.1552E-06,2.36816E-01
-7.1536E-06,3.19824E-01
-7.1520E-06,3.58887E-01
-7.1504E-06,4.22363E-01
-7.1488E-06,4.22363E-01
-7.1472E-06,4.22363E-01
-7.1456E-06,4.02832E-01
-7.1440E-06,3.58887E-01
-7.1424E-06,3.00293E-01
-7.1408E-06,2.22168E-01
-7.1392E-06,1.34277E-01
-7.1376E-06,3.66211E-02
-7.1360E-06,-4.15039E-02
-7.1344E-06,-1.44043E-01
-7.1328E-06,-2.17285E-01
-7.1312E-06,-2.80762E-01
-7.1296E-06,-3.54004E-01
-7.1280E-06,-3.68652E-01
-7.1264E-06,-4.02832E-01
-7.1248E-06,-4.02832E-01
-7.1232E-06,-3.68652E-01
-7.1216E-06,-3.19824E-01
-7.1200E-06,-2.75879E-01
-7.1184E-06,-1.97754E-01
-7.1168E-06,-1.24512E-01
-7.1152E-06,-2.68555E-02
-7.1136E-06,7.08008E-02
-7.1120E-06,1.63574E-01
-7.1104E-06,2.36816E-01
-7.1088E-06,3.05176E-01
-7.1072E-06,3.73535E-01
-7.1056E-06,4.07715E-01
-7.1040E-06,4.27246E-01
-7.1024E-06,4.32129E-01
-7.1008E-06,4.02832E-01
-7.0992E-06,3.58887E-01
-7.0976E-06,3.05176E-01
-7.0960E-06,2.31934E-01
-7.0944E-06,1.39160E-01
-7.0928E-06,6.10352E-02
-7.0912E-06,-3.66211E-02
-7.0896E-06,-1.19629E-01
-7.0880E-06,-2.12402E-01
-7.0864E-06,-2.70996E-01
-7.0848E-06,-3.34473E-01
-7.0832E-06,-3.83301E-01
-7.0816E-06,-3.93066E-01
-7.0800E-06,-3.93066E-01
-7.0784E-06,-3.63770E-01
-7.0768E-06,-3.49121E-01
-7.0752E-06,-2.66113E-01
-7.0736E-06,-2.12402E-01
-7.0720E-06,-1.24512E-01
-7.0704E-06,-3.17383E-02
-7.0688E-06,5.61523E-02
-7.0672E-06,1.44043E-01
-7.0656E-06,2.17285E-01
-7.0640E-06,2.95410E-01
-7.0624E-06,3.63770E-01
-7.0608E-06,3.97949E-01
-7.0592E-06,4.22363E-01
-7.0576E-06,4.41895E-01
-7.0560E-06,4.17480E-01
-7.0544E-06,3.78418E-01
-7.0528E-06,3.19824E-01
-7.0512E-06,2.46582E-01
-7.0496E-06,1.73340E-01
-7.0480E-06,7.08008E-02
-7.0464E-06,-7.32422E-03
-7.0448E-06,-1.24512E-01
-7.0432E-06,-1.97754E-01
-7.0416E-06,-2.75879E-01
-7.0400E-06,-3.34473E-01
-7.0384E-06,-3.68652E-01
-7.0368E-06,-4.12598E-01
-7.0352E-06,-3.97949E-01
-7.0336E-06,-3.78418E-01
-7.0320E-06,-3.39355E-01
-7.0304E-06,-3.00293E-01
-7.0288E-06,-2.17285E-01
-7.0272E-06,-1.39160E-01
-7.0256E-06,-5.61523E-02
-7.0240E-06,3.17383E-02
-7.0224E-06,1.29395E-01
-7.0208E-06,2.27051E-01
-7.0192E-06,2.90527E-01
-7.0176E-06,3.44238E-01
-7.0160E-06,4.12598E-01
-7.0144E-06,4.22363E-01
-7.0128E-06,4.46777E-01
-7.0112E-06,4.12598E-01
-7.0096E-06,3.88184E-01
-7.0080E-06,3.34473E-01
-7.0064E-06,2.66113E-01
-7.0048E-06,1.68457E-01
-7.0032E-06,8.54492E-02
-7.0016E-06,-1.22070E-02
-7.0000E-06,-9.52148E-02
-6.9984E-06,-1.92871E-01
-6.9968E-06,-2.56348E-01
-6.9952E-06,-3.39355E-01
-6.9936E-06,-3.73535E-01
-6.9920E-06,-3.93066E-01
-6.9904E-06,-3.83301E-01
-6.9888E-06,-3.93066E-01
-6.9872E-06,-3.54004E-01
-6.9856E-06,-2.95410E-01
-6.9840E-06,-2.31934E-01
-6.9824E-06,-1.48926E-01
-6.9808E-06,-5.12695E-02
-6.9792E-06,2.68555E-02
-6.9776E-06,1.14746E-01
-6.9760E-06,1.97754E-01
-6.9744E-06,2.90527E-01
-6.9728E-06,3.39355E-01
-6.9712E-06,3.93066E-01
-6.9696E-06,4.27246E-01
-6.9680E-06,4.41895E-01
-6.9664E-06,4.22363E-01
-6.9648E-06,3.83301E-01
-6.9632E-06,3.34473E-01
-6.9616E-06,2.61230E-01
-6.9600E-06,1.83105E-01
-6.9584E-06,9.52148E-02
-6.9568E-06,2.44141E-03
-6.9552E-06,-9.03320E-02
-6.9536E-06,-1.63574E-01
-6.9520E-06,-2.46582E-01
-6.9504E-06,-3.19824E-01
-6.9488E-06,-3.73535E-01
-6.9472E-06,-4.02832E-01
-6.9456E-06,-4.02832E-01
-6.9440E-06,-3.93066E-01
-6.9424E-06,-3.63770E-01
-6.9408E-06,-3.10059E-01
-6.9392E-06,-2.27051E-01
-6.9376E-06,-1.83105E-01
-6.9360E-06,-8.05664E-02
-6.9344E-06,1.70898E-02
-6.9328E-06,1.09863E-01
-6.9312E-06,1.92871E-01
-6.9296E-06,2.70996E-01
-6.9280E-06,3.54004E-01
-6.9264E-06,3.88184E-01
-6.9248E-06,4.37012E-01
-6.9232E-06,4.41895E-01
-6.9216E-06,4.12598E-01
-6.9200E-06,3.88184E-01
-6.9184E-06,3.39355E-01
-6.9168E-06,2.70996E-01
-6.9152E-06,1.92871E-01
-6.9136E-06,1.14746E-01
-6.9120E-06,1.70898E-02
-6.9104E-06,-8.05664E-02
-6.9088E-06,-1.63574E-01
-6.9072E-06,-2.22168E-01
-6.9056E-06,-2.95410E-01
-6.9040E-06,-3.54004E-01
-6.9024E-06,-3.78418E-01
-6.9008E-06,-4.02832E-01
-6.8992E-06,-4.02832E-01
-6.8976E-06,-3.63770E-01
-6.8960E-06,-3.05176E-01
-6.8944E-06,-2.41699E-01
-6.8928E-06,-1.78223E-01
-6.8912E-06,-8.05664E-02
-6.8896E-06,1.22070E-02
-6.8880E-06,9.52148E-02
-6.8864E-06,1.83105E-01
-6.8848E-06,2.56348E-01
-6.8832E-06,3.24707E-01
-6.8816E-06,3.88184E-01
-6.8800E-06,4.12598E-01
-6.8784E-06,4.41895E-01
-6.8768E-06,4.27246E-01
-6.8752E-06,3.97949E-01
-6.8736E-06,3.49121E-01
-6.8720E-06,2.95410E-01
-6.8704E-06,2.07520E-01
-6.8688E-06,1.19629E-01
-6.8672E-06,3.66211E-02
-6.8656E-06,-6.10352E-02
-6.8640E-06,-1.39160E-01
-6.8624E-06,-2.46582E-01
-6.8608E-06,-3.14941E-01
-6.8592E-06,-3.54004E-01
-6.8576E-06,-3.78418E-01
-6.8560E-06,-3.97949E-01
-6.8544E-06,-4.07715E-01
-6.8528E-06,-3.68652E-01
-6.8512E-06,-3.39355E-01
-6.8496E-06,-2.51465E-01
-6.8480E-06,-1.87988E-01
-6.8464E-06,-1.04980E-01
-6.8448E-06,-1.70898E-02
-6.8432E-06,9.03320E-02
-6.8416E-06,1.68457E-01
-6.8400E-06,2.41699E-01
-6.8384E-06,3.29590E-01
-6.8368E-06,3.78418E-01
-6.8352E-06,4.12598E-01
-6.8336E-06,4.41895E-01
-6.8320E-06,4.32129E-01
-6.8304E-06,4.12598E-01
-6.8288E-06,3.58887E-01
-6.8272E-06,2.90527E-01
-6.8256E-06,2.17285E-01
-6.8240E-06,1.39160E-01
-6.8224E-06,5.12695E-02
-6.8208E-06,-5.61523E-02
-6.8192E-06,-1.34277E-01
-6.8176E-06,-2.27051E-01
-6.8160E-06,-2.95410E-01
-6.8144E-06,-3.58887E-01
-6.8128E-06,-3.88184E-01
-6.8112E-06,-4.07715E-01
-6.8096E-06,-3.93066E-01
-6.8080E-06,-3.73535E-01
-6.8064E-06,-3.24707E-01
-6.8048E-06,-2.75879E-01
-6.8032E-06,-2.02637E-01
-6.8016E-06,-1.09863E-01
-6.8000E-06,-2.19727E-02
-6.7984E-06,8.05664E-02
-6.7968E-06,1.48926E-01
-6.7952E-06,2.46582E-01
-6.7936E-06,3.24707E-01
-6.7920E-06,3.58887E-01
-6.7904E-06,4.07715E-01
-6.7888E-06,4.32129E-01
-6.7872E-06,4.32129E-01
-6.7856E-06,4.02832E-01
-6.7840E-06,3.68652E-01
-6.7824E-06,3.05176E-01
-6.7808E-06,2.27051E-01
-6.7792E-06,1.39160E-01
-6.7776E-06,5.61523E-02
-6.7760E-06,-4.15039E-02
-6.7744E-06,-1.24512E-01
-6.7728E-06,-2.07520E-01
-6.7712E-06,-2.95410E-01
-6.7696E-06,-3.54004E-01
-6.7680E-06,-3.93066E-01
-6.7664E-06,-4.12598E-01
-6.7648E-06,-4.02832E-01
-6.7632E-06,-3.73535E-01
-6.7616E-06,-3.19824E-01
-6.7600E-06,-2.70996E-01
-6.7584E-06,-1.97754E-01
-6.7568E-06,-1.19629E-01
-6.7552E-06,-4.15039E-02
-6.7536E-06,6.10352E-02
-6.7520E-06,1.48926E-01
-6.7504E-06,2.31934E-01
-6.7488E-06,3.00293E-01
-6.7472E-06,3.73535E-01
-6.7456E-06,4.12598E-01
-6.7440E-06,4.32129E-01
-6.7424E-06,4.27246E-01
-6.7408E-06,3.97949E-01
-6.7392E-06,3.58887E-01
-6.7376E-06,3.14941E-01
-6.7360E-06,2.46582E-01
-6.7344E-06,1.58691E-01
-6.7328E-06,6.10352E-02
-6.7312E-06,-3.17383E-02
-6.7296E-06,-1.34277E-01
-6.7280E-06,-1.92871E-01
-6.7264E-06,-2.80762E-01
