in s,C1 in V,C3 in V
-2.9024E-06,-3.67320E-02,-2.37805E+00
-2.9020E-06,-4.02477E-02,-2.43664E+00
-2.9016E-06,-4.33727E-02,-2.49523E+00
-2.9012E-06,-4.59117E-02,-2.51477E+00
-2.9008E-06,-4.86461E-02,-2.45617E+00
-2.9004E-06,-5.05992E-02,-2.45617E+00
-2.9000E-06,-5.29430E-02,-2.49523E+00
-2.8996E-06,-5.48961E-02,-2.47570E+00
-2.8992E-06,-5.66539E-02,-2.35852E+00
-2.8988E-06,-5.88023E-02,-2.47570E+00
-2.8984E-06,-6.09508E-02,-2.47570E+00
-2.8980E-06,-6.29039E-02,-2.49523E+00
-2.8976E-06,-6.56383E-02,-2.45617E+00
-2.8972E-06,-6.79820E-02,-2.51477E+00
-2.8968E-06,-7.03258E-02,-2.49523E+00
-2.8964E-06,-7.11070E-02,-2.53430E+00
-2.8960E-06,-7.20836E-02,-2.45617E+00
-2.8956E-06,-7.42320E-02,-2.45617E+00
-2.8952E-06,-7.46227E-02,-2.47570E+00
-2.8948E-06,-7.55992E-02,-2.49523E+00
-2.8944E-06,-7.52086E-02,-2.49523E+00
-2.8940E-06,-7.54039E-02,-2.45617E+00
-2.8936E-06,-7.57945E-02,-2.47570E+00
-2.8932E-06,-7.65758E-02,-2.49523E+00
-2.8928E-06,-7.79430E-02,-2.43664E+00
-2.8924E-06,-7.91148E-02,-2.51477E+00
-2.8920E-06,-7.97008E-02,-2.51477E+00
-2.8916E-06,-8.14586E-02,-2.51477E+00
-2.8912E-06,-8.30211E-02,-2.53430E+00
-2.8908E-06,-8.57555E-02,-2.49523E+00
-2.8904E-06,-8.65367E-02,-2.51477E+00
-2.8900E-06,-8.80992E-02,-2.53430E+00
-2.8896E-06,-8.84898E-02,-2.45617E+00
-2.8892E-06,-8.82945E-02,-2.53430E+00
-2.8888E-06,-8.77086E-02,-2.55383E+00
-2.8884E-06,-8.71227E-02,-2.51477E+00
-2.8880E-06,-8.59508E-02,-2.45617E+00
-2.8876E-06,-8.47789E-02,-2.43664E+00
-2.8872E-06,-8.41930E-02,-2.45617E+00
-2.8868E-06,-8.22398E-02,-2.49523E+00
-2.8864E-06,-8.14586E-02,-2.53430E+00
-2.8860E-06,-7.95055E-02,-2.51477E+00
