in s,C1 in V
-2.8240E-06,-1.69531E-05
-2.8236E-06,6.11719E-05
-2.8232E-06,8.07031E-05
-2.8228E-06,2.56484E-04
-2.8224E-06,2.17422E-04
-2.8220E-06,3.73672E-04
-2.8216E-06,4.51797E-04
-2.8212E-06,4.71328E-04
-2.8208E-06,5.29922E-04
-2.8204E-06,6.47109E-04
-2.8200E-06,6.08047E-04
-2.8196E-06,7.44766E-04
-2.8192E-06,7.83828E-04
-2.8188E-06,8.81484E-04
-2.8184E-06,8.81484E-04
-2.8180E-06,1.03773E-03
-2.8176E-06,1.01820E-03
-2.8172E-06,1.09633E-03
-2.8168E-06,1.11586E-03
-2.8164E-06,1.19398E-03
-2.8160E-06,1.25258E-03
-2.8156E-06,1.33070E-03
-2.8152E-06,1.31117E-03
-2.8148E-06,1.42836E-03
-2.8144E-06,1.38930E-03
-2.8140E-06,1.52602E-03
-2.8136E-06,1.54555E-03
-2.8132E-06,1.62367E-03
-2.8128E-06,1.64320E-03
-2.8124E-06,1.70180E-03
-2.8120E-06,1.66273E-03
-2.8116E-06,1.74086E-03
-2.8112E-06,1.72133E-03
-2.8108E-06,1.81898E-03
-2.8104E-06,1.74086E-03
-2.8100E-06,1.93617E-03
-2.8096E-06,1.91664E-03
-2.8092E-06,1.95570E-03
-2.8088E-06,1.95570E-03
-2.8084E-06,1.99477E-03
-2.8080E-06,2.01430E-03
-2.8076E-06,2.09242E-03
-2.8072E-06,2.09242E-03
-2.8068E-06,2.13148E-03
-2.8064E-06,2.07289E-03
-2.8060E-06,2.17055E-03
-2.8056E-06,2.13148E-03
-2.8052E-06,2.17055E-03
-2.8048E-06,2.22914E-03
-2.8044E-06,2.24867E-03
-2.8040E-06,2.19008E-03
-2.8036E-06,2.15102E-03
-2.8032E-06,2.03383E-03
-2.8028E-06,1.95570E-03
-2.8024E-06,1.62367E-03
-2.8020E-06,1.44789E-03
-2.8016E-06,1.03773E-03
-2.8012E-06,6.66641E-04
-2.8008E-06,2.17422E-04
-2.8004E-06,-2.12266E-04
-2.8000E-06,-6.22422E-04
-2.7996E-06,-8.17734E-04
-2.7992E-06,-8.37266E-04
-2.7988E-06,-8.76328E-04
-2.7984E-06,-9.73984E-04
-2.7980E-06,-1.05211E-03
-2.7976E-06,-1.13023E-03
-2.7972E-06,-1.26695E-03
-2.7968E-06,-1.32555E-03
-2.7964E-06,-1.36461E-03
-2.7960E-06,-1.44273E-03
-2.7956E-06,-1.46227E-03
-2.7952E-06,-1.57945E-03
-2.7948E-06,-1.63805E-03
-2.7944E-06,-1.69664E-03
-2.7940E-06,-1.77477E-03
-2.7936E-06,-1.97008E-03
-2.7932E-06,-2.16539E-03
-2.7928E-06,-2.36070E-03
-2.7924E-06,-2.39977E-03
-2.7920E-06,-2.55602E-03
-2.7916E-06,-2.59508E-03
-2.7912E-06,-2.84898E-03
-2.7908E-06,-2.79039E-03
-2.7904E-06,-2.86852E-03
-2.7900E-06,-2.73180E-03
-2.7896E-06,-2.82945E-03
-2.7892E-06,-2.73180E-03
-2.7888E-06,-2.82945E-03
-2.7884E-06,-2.77086E-03
-2.7880E-06,-2.82945E-03
-2.7876E-06,-2.82945E-03
-2.7872E-06,-2.84898E-03
-2.7868E-06,-2.82945E-03
-2.7864E-06,-2.88805E-03
-2.7860E-06,-2.92711E-03
-2.7856E-06,-2.73180E-03
-2.7852E-06,-2.65367E-03
-2.7848E-06,-2.55602E-03
-2.7844E-06,-2.43883E-03
-2.7840E-06,-2.39977E-03
-2.7836E-06,-2.30211E-03
-2.7832E-06,-2.24352E-03
-2.7828E-06,-2.12633E-03
-2.7824E-06,-2.12633E-03
-2.7820E-06,-1.98961E-03
-2.7816E-06,-1.85289E-03
-2.7812E-06,-1.73570E-03
-2.7808E-06,-1.69664E-03
-2.7804E-06,-1.54039E-03
-2.7800E-06,-1.57945E-03
-2.7796E-06,-1.54039E-03
-2.7792E-06,-1.55992E-03
-2.7788E-06,-1.71617E-03
-2.7784E-06,-1.91148E-03
-2.7780E-06,-2.20445E-03
-2.7776E-06,-2.63414E-03
-2.7772E-06,-2.98570E-03
-2.7768E-06,-3.49352E-03
-2.7764E-06,-3.84508E-03
-2.7760E-06,-4.19664E-03
-2.7756E-06,-4.35289E-03
-2.7752E-06,-4.48961E-03
-2.7748E-06,-4.62633E-03
-2.7744E-06,-4.72398E-03
-2.7740E-06,-4.76305E-03
-2.7736E-06,-4.88023E-03
-2.7732E-06,-5.13414E-03
-2.7728E-06,-5.42711E-03
-2.7724E-06,-5.52477E-03
-2.7720E-06,-5.66148E-03
-2.7716E-06,-5.81773E-03
-2.7712E-06,-6.01305E-03
-2.7708E-06,-6.01305E-03
-2.7704E-06,-5.95445E-03
